foodname,calories,fat ,salt,carbohydrate,sugar,protein
idly,58,0.4,0.075,12,0.1,1.6
wheat puttu podi,370,13,0.05,76,1,12
white sauce pasta,1186,73,0.088,106,3.9,28
paneer capsicum,366,27,0.0141,15,6.7,15
rava kichadi,278,10,0.0106,42,0,5
moong dal salad,236,2,0.0465,41,5.8,16
kanda batata poha,158,0.2,0.004,35,0,2.9
idiyappam,281,6.2,2.414,54,19,3
tapioca pearls sago ,172,0,0.02,43,0,0
ragi dosa,135,7.8,0.068,15,1,2
goan coconut,80,6,0.26,5,3,1
ragi roti,139,5.7,0.122,20,1.2,2.8
cucumber salad,49,0.1,0.341,11,9.1,0.8
chapathi,120,3.7,0.119,18,1.2,3.1
pepper thatte ,160,9,0.28,18,0,2
black rice ,205,0.4,0.0016,45,0.1,4.3
upma,132,4,0.179,21,2.7,3.4
wheat dosa,168,3.7,0.094,29,0.2,3.9
adai  batter,60,1.5,0.21,11,1,3
poha upma,219,6.9,0.11,35,2.3,4
broccoli idli upma,403,33,1.046,20,13,10
pasta con broccoli,1170,58,2.59,113,6,42
pongal,319,8.1,0.0034,54,1,7.3
moong dal ,236,2,0.465,41,5.8,16
masala upma,250,7,0.96,40,1,7
vegan  mayonnaise,68,6.7,0.05,2.2,0.9,0
sago pudding,275,12,0.9,47,32,8
0nion dosa,191,3.9,0.685,35,2.6,4.6
poha plain,158,0.2,0.042,35,0,2.9
oats ,153,2.6,0.024,27,0.4,5.3
egg dosa,205,9.6,0.418,21,3.1,9
butter dosa,239,12,0.018,29,0.2,4
vegetable upma,334,9,0.936,57,3.2,6.4
carrot dosa,292,14,1.889,36,2.9,4.6
capsicum dip,66,6,0.038,2.2,0.8,1.7
bread toast,64,0.9,0.118,12,1.4,2
tomato dal,223,7.7,0.724,29,5.5,12
white bread toast,64,0.9,0.118,12,1.4,2
potato bread toast,85,1,0.12,15,3,4
spaghetti noodles,210,0.9,0.0067,42,1.5,7.4
uthappam batter savoury,220,0.5,0.22,46,0,6
aloo naan,300,11,0.37,46,4.2,6.1
bread cheese ,85,6.8,0.213,0.8,0.7,5.1
rava dosa,180,3,0.77,33,0,4
akki roti,93,2.6,0.098,16,0,1.2
dal roti,116,2.4,0.103,21,0.6,4.6
string hoppers,281,6.2,2.414,54,19,3
bagel,227,1.4,0.443,55,8.9,11
aloo paratha,300,11,0.37,46,4.2,6.1
dal paratha,148,5.5,0.241,21,1.5,4.2
palak paratha,160,6,0.361,23,0.6,4.1
roti paratha,258,10,0.357,36,3.3,5
vada,135,8.4,0.217,11,0.4,4.4
vada pao,263,9.5,0.209,37,3.5,7.5
pancake,91,3.9,0.176,11,0,2.6
soya patty,124,4.4,0.398,10,0.8,11
appam,94,2.4,0.068,17,1.6,1.5
palak paneer,366,30,0.871,10,4.5,15
shahi paneer,310,25,0.555,12,7.2,12
karuveppilaichutney,16,1.2,0.002,0.8,0,0.4
onion chutney,31,2.4,0.151,2.2,0.9,0.4
mint chutney,15,1,0.49,2,1,0
cury leves  chutnry,16,1.2,0.002,0.8,0,0.4
palak panner,366,30,0.0871,10,4.5,15
carrot chuttney,29,0.1,0.078,6.8,4.1,0.9
capsicum chutney,66,6,0.0038,2.2,0.8,1.7
cocunet chutney,36,3.3,0.0021,1,0.1,0.4
chilli garlic chudney,4,0,0.003,0.6,0.1,0.2
beetroot chudney,308,30.5,0.0245,6.7,0.1,1.9
garlic chudney,14,0,0.0001,2.5,0.1,0.7
green chudney,3,0,0.0008,0.5,0.1,0.2
tomato onion chudney,31,2.2,0.0038,2.2,0.1,0.5
ginger chudney,41,2.2,0.008,5.2,0.1,0.2
tomato chudney,31,2.2,0.0038,2.1,0.1,0.6
mint coriander chudney,8,0.1,0.0013,1.5,1.3,0.3
peanut chudney,331,0.01,0.00032,16.24,0,1.82
green mango chudney,210,0.3,0.0206,51,36.5,0.7
corriander rice,342,10,0.078,57,5.5,6.8
carrot rice,207,3.2,0.3,41,1,5
veg pulao,281,4.4,1.014,54,1.9,5.4
capsicum rice,342,11,0.787,57,3.1,6.2
rasam rice,64,3.1,0.012,8.7,5,2.2
kaju rice,205,0.4,0.0016,45,0.1,4.3
curd rice,207,3.2,0.167,38,4.5,6.1
tomato rice,126,3.9,0.092,20,1.9,2.3
gongura rice,205,0.4,0.0016,45,0.1,4.3
tamarind rice,344,13,0.277,51,4.5,7.4
cocunut rice biriyani,321,15,0.073,43,1.6,4.3
beetroot rice,100,0.3,0.074,23,19,2.8
fried rice,238,4.1,0.53,45,0.8,5.5
kollu podi sadam,15,0.2,0.148,2.8,0.4,1
moong dal rice,240,2,0.465,41,5.8,16
rasam rice,290,5.8,0.486,48,2.1,13
sundakai rice,205,0.4,0.0016,45,0.1,4.3
cucumber rice,50,0.8,0.428,9.8,7.3,2.4
panner fried rice,238,4.1,0.53,45,0.8,5.5
cocunet milk biriyani,445,48,0.029,6.4,,4.6
groundnut rice,205,0.4,0.0016,45,0.1,4.3
jackfruit biriyani,160,1.1,0.033,38,31,2.8
mushroom biriyani,320,15,0.073,43,1.6,4.3
mango rice,202,1.3,0.034,50,46,2.8
palak pulao,473,12,1.215,82,5,10
nelikai sadam,214,4.5,0.018,39,5.1,6.9
lemon rice ,221,3,0.104,43,1.1,4.9
